Lab,Trial,Day,Group,ForagingTime,CauseOfDeath
W,1,17,14,53,
W,2,17,14,60,s
W,1,17,15,60,s
W,2,17,15,60,s
W,3,17,15,40,
W,4,17,15,54,
W,5,17,15,4,
W,1,17,16,38,
W,2,17,16,60,s
W,3,17,16,,h
W,4,17,16,,h
W,5,17,16,7,
M,1,18,1,40,
M,2,18,1,60,s
M,3,18,1,37,
M,4,18,1,56,
M,5,18,1,27,
M,1,18,2,36,
M,2,18,2,60,s
M,3,18,2,,h
M,1,18,3,60,s
M,2,18,3,60,s
M,3,18,3,35,
M,4,18,3,,h
M,5,18,3,,h
M,1,18,4,60,s
M,2,18,4,50,
M,4,18,4,,h
M,5,18,4,,g
M,1,18,5,59,
M,2,18,5,35,
M,3,18,5,,h
M,4,18,5,,h
M,5,18,5,,h
T,1,18,6,60,s
T,2,18,6,60,s
T,3,18,6,,h
T,4,18,6,20,
T,5,18,6,,h
T,1,18,7,43,
T,2,18,7,60,s
T,1,18,8,19,
T,2,18,8,60,s
T,3,18,8,,h
T,4,18,8,,h
T,5,18,8,33,
T,1,18,9,60,s
T,2,18,9,60,s
T,3,18,9,,h
T,4,18,9,35,
T,5,18,9,,g
W,1,18,10,60,s
